Sound event,Top1-related POI value,P(value|event),P(value|non-event),Implied Balanced Accuracy,
Bell,post_box,82.35%,53.31%,64.52%,
Bird sounds,farmland,49.85%,25.79%,62.03%,
Boat,slipway,49.56%,10.61%,69.47%,
Bus,secondary_link,100.00%,29.58%,85.21%,
Car,industrial,75.96%,56.38%,59.79%,
Crickets,orchard,26.02%,13.30%,56.36%,
Dog,farmland,55.31%,30.78%,62.27%,
Explosion,subway,78.87%,12.93%,82.97%,
Falling water/Rain,stop_area,20.43%,6.66%,56.89%,
Flowing water,track,94.65%,71.63%,61.51%,
Footsteps,turning_circle,70.88%,48.81%,61.03%,
Helicopter,motel,50.00%,8.93%,70.53%,
Insects(Flying),track,90.84%,72.93%,58.95%,
Laughter,charging_station,83.67%,42.47%,70.60%,
Metro,subway,87.30%,12.93%,87.19%,
Music,bicycle_rental,81.94%,36.04%,72.95%,
Musical instrument,bank,77.66%,41.16%,68.25%,
Plane,the roof,87.06%,57.43%,64.81%,
Shout or scream,fast_food,97.06%,58.66%,69.20%,
Singing,community_center,69.14%,34.51%,67.31%,
Siren,buffer_stop,82.61%,21.16%,80.72%,
Speech,ice_cream,67.23%,27.87%,69.68%,
Train,railway,90.24%,34.72%,77.76%,
Tram,carport,72.07%,9.89%,81.09%,
Truck,motorway_junction,50.00%,21.66%,64.17%,
Vehicle horn,station,65.22%,36.79%,64.22%,
Waves,beach,75.99%,14.37%,80.81%,
Wind,bare_rock,66.27%,15.99%,75.14%,
