event,excel_rank,poi_value,P_value_given_event_pct,P_value_given_non_event_pct,discrimination_gap_pp,implied_balanced_accuracy_pct
Bell,1,post_box,82.35,53.31,29.04,64.52
Bell,2,church,84.03,57.40,26.63,63.31
Bell,3,doctors,58.82,32.80,26.02,63.01
Bell,4,guest_house,57.14,31.70,25.44,62.72
Bell,5,shed,64.71,41.93,22.78,61.39
Bell,6,fountain,65.55,44.79,20.76,60.38
Bell,7,townhall,43.70,23.03,20.67,60.34
Bell,8,pub,63.87,43.21,20.66,60.33
Bell,9,museum,58.82,38.45,20.37,60.19
Bell,10,water,93.28,73.07,20.21,60.11
Bell,11,charging_station,62.18,42.38,19.80,59.90
Bell,12,recycling,68.91,50.12,18.79,59.39
Bell,13,viewpoint,57.14,38.50,18.64,59.32
Bell,14,cathedral,26.89,8.33,18.56,59.28
Bell,15,bar,65.55,46.99,18.56,59.28
Bell,16,ice_cream,52.94,34.59,18.35,59.17
Bell,17,fuel,64.71,46.48,18.23,59.11
Bell,18,post_office,57.98,39.92,18.06,59.03
Bell,19,theatre,52.10,34.62,17.48,58.74
Bell,20,library,55.46,38.18,17.28,58.64
Bell,21,bank,59.66,42.41,17.25,58.62
Bell,22,information,82.35,65.27,17.08,58.54
Bell,23,living_street,52.10,35.45,16.65,58.33
Bell,24,drain,37.82,21.50,16.32,58.16
Bell,25,restaurant,88.24,71.94,16.30,58.15
Bell,26,industrial,73.95,58.15,15.80,57.90
Bell,27,ruins,27.73,11.99,15.74,57.87
Bell,28,parking_entrance,57.14,41.42,15.72,57.86
Bell,29,hotel,66.39,50.71,15.68,57.84
Bell,30,taxi,44.54,28.86,15.68,57.84
Bell,31,clinic,51.26,35.85,15.41,57.70
Bell,32,office,54.62,39.44,15.18,57.59
Bell,33,level_crossing,37.82,22.70,15.12,57.56
Bell,34,nightclub,36.97,21.98,14.99,57.49
Bell,35,military,26.05,11.22,14.83,57.41
Bell,36,building,42.86,28.25,14.61,57.30
Bell,37,artwork,69.75,55.23,14.52,57.26
Bell,38,stop_position,70.59,56.14,14.45,57.23
Bell,39,river,50.42,36.06,14.36,57.18
Bell,40,attraction,55.46,41.12,14.34,57.17
Bell,41,cinema,36.97,22.70,14.27,57.13
Bell,42,fast_food,73.11,58.90,14.21,57.11
Bell,43,farmland,45.38,31.49,13.89,56.95
Bell,44,childcare,30.25,16.41,13.84,56.92
Bell,45,casino,25.21,11.62,13.59,56.80
Bell,46,tree_row,61.34,48.11,13.23,56.62
Bell,47,picnic_site,36.97,23.88,13.09,56.55
Bell,48,bandstand,21.01,8.06,12.95,56.48
Bell,49,switch,44.54,31.62,12.92,56.46
Bell,50,construction,62.18,49.34,12.84,56.42
Bird sounds,1,farmland,49.85,25.79,24.06,62.03
Bird sounds,2,orchard,24.77,10.89,13.88,56.94
Bird sounds,3,channel,28.13,16.01,12.12,56.06
Bird sounds,4,track,82.57,70.45,12.12,56.06
Boat,1,slipway,49.56,10.61,38.95,69.47
Boat,2,cemetery,64.60,28.92,35.68,67.84
Boat,3,beach,46.90,18.39,28.51,64.25
Boat,4,camp_site,36.28,8.45,27.83,63.91
Boat,5,ferry_terminal,39.82,12.70,27.12,63.56
Boat,6,coastline,40.71,18.58,22.13,61.06
Boat,7,farmland,53.10,31.28,21.82,60.91
Boat,8,orchard,32.74,13.87,18.87,59.44
Boat,9,wetland,39.82,23.34,16.48,58.24
Boat,10,farmyard,25.66,9.36,16.30,58.15
Boat,11,swimming_pool,18.58,2.62,15.96,57.98
Boat,12,fitness_centre,16.81,1.10,15.71,57.86
Boat,13,track,88.50,73.08,15.42,57.71
Boat,14,channel,33.63,18.66,14.97,57.48
Boat,15,sports_centre,16.81,1.92,14.89,57.45
Boat,16,roof,18.58,3.88,14.70,57.35
Boat,17,caravan_site,20.35,6.34,14.01,57.00
Boat,18,church,71.68,57.82,13.86,56.93
Boat,19,marina,13.27,0.32,12.95,56.48
Boat,20,retail,71.68,59.48,12.20,56.10
Boat,21,shower,22.12,11.31,10.81,55.41
Boat,22,basin,13.27,2.51,10.76,55.38
