bootstrap_iteration,Bell,Bird sounds,Boat,Bus,Car,Crickets,Dog,Explosion,Falling water/Rain,Flowing water,Footsteps,Helicopter,Insects,Laughter,Metro,Music,Musical instrument,Plane,Shout or scream,Singing,Siren,Speech,Train,Tram,Truck,Vehicle horn,Waves,Wind
1,0.7423483579513731,0.9644038561509065,0.7233656672545561,0.9077524038461539,0.6447686420501477,0.968528956505752,0.9390718013853256,1.0,0.9516463367586944,0.9378528862355796,0.7831202963923576,0.9714285714285715,0.8367334155269882,0.5332359474715717,0.8319727891156462,0.695162936431897,0.845121165470777,0.940921991804421,0.4397962974254054,0.634513169765628,0.9026315789473685,0.8632590454887491,0.6545994146742116,0.7613012195101747,0.12814119290364306,0.45317434662876876,0.9580900530013022,1.0
2,0.8018392197768384,0.9750820466144021,0.6802964244915264,1.0,0.7023639027921992,0.9948321646123199,0.8442387343606933,1.0,0.9033944155190747,0.9207048037957951,0.7686961138791253,0.9560150375939849,0.7749919965880212,0.5557997557997558,0.46055773336475087,0.8273358014534486,0.8685719282068078,0.9425423675890119,0.547300594864963,0.9021523869084844,0.7255772860858241,0.8656915864614841,0.7223070671553073,0.9256578947368421,0.5955555555555555,0.7520684486831426,0.9518173633485132,0.9945054945054945
3,0.9582176996608079,0.9343061337882167,0.7109151501769554,0.9377954306722689,0.6644019921275713,0.9840988866374563,0.894243774509021,1.0,0.9751245400385159,0.9498234344774824,0.8005091199141049,0.9861111111111112,0.8443443501729302,0.5939124702911467,0.6805996472663138,0.9825782490456403,0.9060192326195409,0.8365095502458877,0.7365459649283179,0.9657894736842106,0.7519762845849802,0.8256241837549334,0.77297816488229,0.831049153082401,0.5459973463069439,0.8154991144669003,0.9738235203350345,0.9866452991452991
4,0.9489624702782598,0.9254159397180948,0.6994676788199055,0.8936720030535904,0.7976095212611393,0.9700291164116444,0.7898429043012788,1.0,0.9747584367124571,0.9288777835610976,0.8178007355938384,0.9821428571428571,0.7397364377024352,0.3214152504708375,0.1976190476190476,0.9045789876928334,0.8697906358451042,0.92169946989187,0.553692880846439,0.8234479399722995,0.791488846291849,0.8456354257904026,0.7849860379193977,0.8504509827090472,0.34976169077866087,0.5327206475136393,0.9621442520328624,0.9855769230769231
5,0.8292475772647838,0.9295723128668094,0.6094898531530474,0.8256824848765562,0.6771681268762051,0.9659650129722831,0.8152795141873064,1.0,0.8912953797629352,0.9250215022147387,0.817181116995431,1.0,0.6755548116302625,0.3168379513967749,0.8364819661448069,0.78991153923635,0.8870677126423652,0.9015817371331435,0.439659874538931,0.7142010175448686,1.0,0.7528848447695495,0.77552255466217,0.7015343838192936,0.043478260869565216,0.5415922907575652,0.9776837473872729,0.986013986013986
6,0.9952380952380953,0.9356871187464176,0.7862383572779402,0.9080302542645639,0.8334562080478249,0.9956536451104661,0.884482910469593,1.0,0.9379145223359567,0.9394950903102366,0.7315803152895525,0.9651515151515152,0.7090641539018621,0.5588235294117647,0.925,0.8998641761469899,0.9025600291483598,0.9355698099570324,0.6255145362988501,0.8917790622992935,0.9242424242424242,0.9009125592643519,0.7590283080649327,0.9023570696185949,0.28851190476190475,0.5952080388492286,0.9677839924665417,0.981547619047619
7,0.9899893162393162,0.9108820862600847,0.5812161361261885,0.7225566893424036,0.7606710631103055,0.9717241216243955,0.8407440675265258,1.0,0.9364554164271359,0.9210650064319819,0.691859244129017,1.0,0.8219374842082999,0.3115131225160724,0.4515305470629828,0.8542326073674729,0.8519728028006032,0.886552516338005,0.6534305842177814,0.6126013388502036,0.8130237237228316,0.8666619123180188,0.540712320824716,0.6646927450005027,0.018383453320935148,0.6335526316351294,0.9494981255736241,0.9924242424242424
8,0.9552211793808432,0.9320356735089731,0.5757594418419585,0.809774964838256,0.6671938533970079,0.9580313754441815,0.8977300461817157,1.0,0.9360417173570039,0.9421731203805594,0.7660670685549815,0.9935897435897435,0.8067171756355399,0.04490730255020463,0.6084088539412896,0.6764966870973544,0.7984761912732284,0.855227446639113,0.6459006292984621,0.9015471167369901,0.7814276005765366,0.8119257019955909,0.7964029753722526,0.694272827474185,0.29074263572231623,0.642136313805304,0.9375662634503935,1.0
9,0.9089403427207071,0.9502251923993718,0.7923843296183721,0.8651947599123331,0.7090272063130437,0.9734209249818848,0.7488904873688048,1.0,0.941187769952568,0.9529964560254257,0.7958072993031535,0.9752747252747253,0.8071020900788393,0.30898276035890715,0.8104570039397873,0.7149008464200615,0.8402874299435287,0.8950563479312107,0.6405122132769191,0.684287352811429,0.607904138250959,0.827426948554679,0.5874548849584397,0.854035964035964,0.3473284395509017,0.7022528881746171,0.9870608294868279,0.9419191919191918
10,0.9751845458556491,0.9336995173255097,0.5641199244140421,0.9080478345184227,0.7525350957844635,0.9890092802303548,0.8337907305836622,1.0,0.9581317601125949,0.9597277056137834,0.6258006808897464,0.9888888888888888,0.7554036759430025,0.09656545784423022,0.45125000000000004,0.8779171155814847,0.8742436973217251,0.8777014475750404,0.653171225667921,0.8983878140115462,0.5987532922141433,0.8787337679497361,0.5938117363133004,0.8835262541780263,0.6700835904277495,0.6994853453963401,0.9386842587751699,1.0
11,0.9104504482224577,0.9441215968714514,0.46524634142343774,0.9277612332486642,0.736773169811855,0.9904784537018176,0.7403709976526119,1.0,0.9708787183935894,0.914346335346064,0.6783691925241537,1.0,0.6937901125328787,0.24248344090112123,0.32815921823274763,0.6711170768946241,0.7965032750063418,0.8450930813225952,0.5781242223865539,0.7910285902070324,0.6774059274059274,0.8896863280003671,0.5643636465783981,0.8019762355057017,0.21990369181380415,0.6126693896318167,0.9382067648233283,1.0
12,0.9457952239907127,0.9245816940489695,0.6120604954414683,0.9040485829959515,0.76744071108324,0.9748607256856802,0.8658354356973301,1.0,0.9349183814719154,0.9553241666312176,0.8222651735766817,1.0,0.8028499178461875,0.41849614523139667,0.3466666666666667,0.8454770107343637,0.9048385889282774,0.8507975423675269,0.5911351611351611,0.8131065633736139,0.7417837840580532,0.8157659806129226,0.7181760521292054,0.8914602409692408,0.29714243453940453,0.7292968133560255,0.9855698428897176,0.9841597796143251
13,0.9908466819221967,0.9412330108057335,0.5245541828102632,0.846279761904762,0.6053632986716893,0.9948030197620569,0.823433936047683,1.0,0.9136325906047197,0.9489569636219003,0.7307500087341952,0.9861111111111112,0.8248922632722728,0.3527735294804309,0.6850256769374415,0.8488508076722202,0.8142928847319254,0.8896129281074163,0.42311993667828907,0.836080586080586,0.4970847363468739,0.8551836813610822,0.5964304577190782,0.8804281713372623,0.4139062477958499,0.6498568847406682,0.9760778259032459,1.0
14,0.8032066608168907,0.9680039858130293,0.7210621630581096,0.9821428571428571,0.7245344207926241,0.987316837902885,0.8305762663686409,1.0,0.9720330913574681,0.9533927459415059,0.8398139151579936,0.9797979797979798,0.6423133813270631,0.3916768665850673,0.23707602339181288,0.9119487968172179,0.8750469185560377,0.946599412529956,0.8036456620434949,0.986013986013986,0.6659090909090909,0.8718306798422378,0.6946755082433909,0.8709715190647394,0.2841269841269841,0.5699810429947588,0.9629689932211521,0.9833333333333333
15,0.936064737319422,0.9548566676846552,0.662451406614051,1.0,0.7575275806379544,0.9700093993499603,0.7951743907209858,1.0,0.9739326221244647,0.9508649339495837,0.8311848036888851,1.0,0.8244303383945681,0.06703296703296703,0.593109243697479,0.8295701755855679,0.824006571483409,0.881230935578263,0.7968179968179968,0.7964058186619163,0.9333333333333332,0.8757220243659941,0.8307201459284623,0.933027103615339,0.4978354978354978,0.5678703050331102,0.9823657163213628,1.0
16,0.9812030075187969,0.9477585095985435,0.5258555823078541,0.9078144078144078,0.7156336430536695,0.9947123368461737,0.8205598064625129,1.0,0.9261352685933879,0.9143738113743827,0.8229368602975622,1.0,0.6178875669811491,0.22300505050505054,0.7270270270270272,0.8218665440819214,0.8751898150528887,0.9087121133562325,0.7229768346284183,1.0,0.804112554112554,0.8296271245334641,0.7556071213438287,0.8371207347327321,0.26404232094479074,0.4645203606044002,0.9663014536518755,0.9901360544217687
17,0.9119680080940141,0.9511012312075342,0.8008334563467657,0.9131069733479372,0.6829806182058163,0.976022068366976,0.7624911150141619,1.0,0.9117762393493851,0.9360959847910287,0.7727248229636993,1.0,0.5744814620988035,0.11798941798941798,0.46829686829686834,0.6897999732386466,0.7657468001854464,0.9299130756088482,0.8363157264343035,0.6896633653461384,0.6966583930869644,0.8898910385530869,0.7630629552909104,0.7694284881784881,0.2107990428050362,0.3959486166286435,0.9654081534767143,0.9708624708624709
18,0.948243183831419,0.9452951606757183,0.48393876299068334,0.865582351074192,0.6341145281537036,0.9637630210795065,0.689582062445024,1.0,0.9505134967638215,0.9633238300325139,0.8442829280107814,1.0,0.7758654316869442,0.1888675341883133,0.43402349718139194,0.9185883968972204,0.9039276807628607,0.925035030002367,0.6649897745872978,0.802785515320334,0.6101007374128761,0.8865410330438338,0.7021596547354609,0.8234499053578002,0.03561218813843486,0.6298989270429478,0.9649772089338223,1.0
19,0.8971597679176865,0.9458162913388092,0.7240843662872823,0.9276360544217687,0.7698934116662468,0.9947300231249864,0.8464370426580444,1.0,0.8318568567759357,0.8805195869232315,0.8019913544168527,1.0,0.9720216291644863,0.16336563836563833,0.660285686878268,0.7037608008761088,0.7541924368302505,0.8615459488368675,0.6318660120220134,0.7689313460382866,0.8352979698755729,0.8316555564964102,0.602635254982094,0.7560731583043956,0.11298286997545393,0.5867957076278922,0.972729459160496,1.0
