class_name,test_clip_count,positive_clip_count,negative_clip_count,positive_prevalence,average_precision,ci_lower,ci_upper,ci_width,valid_bootstrap_count,skipped_bootstrap_count
Bell,579,18,561,0.031088082901554404,0.9282872075574654,0.8020898486489701,1.0,0.19791015135102985,1000,0
Bird sounds,579,149,430,0.25734024179620035,0.9460967098202343,0.9148350855589238,0.9719011468123289,0.057066061253405076,1000,0
Boat,579,19,560,0.03281519861830743,0.617421057257452,0.3893128664008318,0.8151145091531687,0.42580164275233695,1000,0
Bus,579,11,568,0.018998272884283247,0.9050105466994017,0.7108865741760445,1.0,0.2891134258239555,1000,0
Car,579,65,514,0.11226252158894647,0.708798766612376,0.5890182606039671,0.815211559193362,0.22619329858939485,1000,0
Crickets,579,59,520,0.10189982728842832,0.980766702644787,0.9506083023253612,0.9975425219806965,0.046934219655335285,1000,0
Dog,579,29,550,0.05008635578583765,0.8315601437171249,0.6836024048849261,0.9405499768246227,0.25694757193969664,1000,0
Explosion,579,10,569,0.017271157167530225,1.0,1.0,1.0,0.0,1000,0
Falling water/Rain,579,47,532,0.08117443868739206,0.9448329391283291,0.8883792419880246,0.9890646258907966,0.10068538390277193,1000,0
Flowing water,579,54,525,0.09326424870466321,0.9309129526139724,0.8746628736623759,0.9734070993860748,0.0987442257236989,1000,0
Footsteps,579,44,535,0.07599309153713299,0.7472627708567356,0.6263969079824853,0.854673214962565,0.22827630698007972,1000,0
Helicopter,579,9,570,0.015544041450777202,0.9797979797979798,0.8874810606060606,1.0,0.11251893939393942,1000,0
Insects,579,23,556,0.039723661485319514,0.7621060680850005,0.5887082065088478,0.8833219952688485,0.29461378876000066,1000,0
Laughter,579,8,571,0.013816925734024179,0.3039362355832861,0.06967795885466939,0.5985533910533909,0.5288754321987215,1000,0
Metro,579,8,571,0.013816925734024179,0.6094566993464052,0.28364223113487824,0.921489156268568,0.6378469251336898,999,1
Music,579,21,558,0.03626943005181347,0.8011796717623784,0.6107448334070708,0.9430825071768952,0.3323376737698245,1000,0
Musical instrument,579,28,551,0.04835924006908463,0.8382867610147171,0.6966397642748027,0.9366098748756198,0.23997011060081708,1000,0
Plane,579,53,526,0.09153713298791019,0.8846478475915279,0.8012760867195079,0.9446730107437228,0.1433969240242149,1000,0
Shout or scream,579,11,568,0.018998272884283247,0.5973473496200769,0.3097039971591482,0.8712896825396826,0.5615856853805344,1000,0
Singing,579,11,568,0.018998272884283247,0.7991642938167003,0.5329686184918866,1.0,0.4670313815081134,1000,0
Siren,579,8,571,0.013816925734024179,0.7680289867789868,0.4296333619725277,1.0,0.5703666380274723,1000,0
Speech,579,107,472,0.1848013816925734,0.8522810208763939,0.7618386278928877,0.9270270102327841,0.1651883823398964,1000,0
Train,579,29,550,0.05008635578583765,0.7068735904196094,0.5307113393530504,0.8779703717136629,0.3472590323606125,1000,0
Tram,579,16,563,0.027633851468048358,0.8426978114478114,0.6644984608329848,0.9698973285486443,0.3053988677156595,1000,0
Truck,579,7,572,0.012089810017271158,0.3454851220914725,0.03170527387872575,0.7385342803850988,0.706829006506373,999,1
Vehicle horn,579,18,561,0.031088082901554404,0.6097216960386439,0.3775732221953975,0.8120873619596686,0.43451413976427106,1000,0
Waves,579,44,535,0.07599309153713299,0.9564950933402743,0.9041387173007182,0.9886168981613128,0.08447818086059466,1000,0
Wind,579,12,567,0.02072538860103627,0.9866452991452991,0.9328843995510662,1.0,0.06711560044893383,1000,0
