model,run,class_index,class_label,lambda
AST,1,0,Bell,0.69797551
AST,1,1,Bird sounds,0.6932968
AST,1,2,Boat,0.69507563
AST,1,3,Bus,0.69527328
AST,1,4,Car,0.69366329
AST,1,5,Crickets,0.69608358
AST,1,6,Dog,0.69404385
AST,1,7,Explosion,0.69462534
AST,1,8,Falling water/Rain,0.69477862
AST,1,9,Flowing water,0.69667211
AST,1,10,Footsteps,0.69370057
AST,1,11,Helicopter,0.69569061
AST,1,12,Insects,0.69464547
AST,1,13,Laughter,0.69531325
AST,1,14,Metro,0.6950408
AST,1,15,Music,0.69428731
AST,1,16,Musical instrument,0.69464602
AST,1,17,Plane,0.6940098
AST,1,18,Shout or scream,0.69529192
AST,1,19,Singing,0.69490714
AST,1,20,Siren,0.69522037
AST,1,21,Speech,0.69323923
AST,1,22,Train,0.69457866
AST,1,23,Tram,0.69539993
AST,1,24,Truck,0.69587519
AST,1,25,Vehicle horn,0.69499849
AST,1,26,Waves,0.70044591
AST,1,27,Wind,0.69429219
AST,2,0,Bell,0.69499784
AST,2,1,Bird sounds,0.69342261
AST,2,2,Boat,0.69498275
AST,2,3,Bus,0.69447694
AST,2,4,Car,0.69462916
AST,2,5,Crickets,0.69507102
AST,2,6,Dog,0.69448276
AST,2,7,Explosion,0.69598275
AST,2,8,Falling water/Rain,0.69488107
AST,2,9,Flowing water,0.6944337
AST,2,10,Footsteps,0.69453106
AST,2,11,Helicopter,0.69541186
AST,2,12,Insects,0.69493467
AST,2,13,Laughter,0.69452265
AST,2,14,Metro,0.6949928
AST,2,15,Music,0.69533998
AST,2,16,Musical instrument,0.69550692
AST,2,17,Plane,0.69443656
AST,2,18,Shout or scream,0.69488506
AST,2,19,Singing,0.69479065
AST,2,20,Siren,0.69474274
AST,2,21,Speech,0.69427403
AST,2,22,Train,0.6952051
AST,2,23,Tram,0.69550133
AST,2,24,Truck,0.69466939
AST,2,25,Vehicle horn,0.69543538
AST,2,26,Waves,0.69613
AST,2,27,Wind,0.69468937
AST,3,0,Bell,0.69551516
AST,3,1,Bird sounds,0.6939072
AST,3,2,Boat,0.69541193
AST,3,3,Bus,0.69539879
AST,3,4,Car,0.69381029
AST,3,5,Crickets,0.69649913
AST,3,6,Dog,0.69398789
AST,3,7,Explosion,0.69597389
AST,3,8,Falling water/Rain,0.69473297
AST,3,9,Flowing water,0.6936876
AST,3,10,Footsteps,0.6948425
AST,3,11,Helicopter,0.69544755
AST,3,12,Insects,0.69510502
AST,3,13,Laughter,0.69549153
AST,3,14,Metro,0.69499026
AST,3,15,Music,0.69525932
AST,3,16,Musical instrument,0.69433517
AST,3,17,Plane,0.69385598
AST,3,18,Shout or scream,0.69492137
AST,3,19,Singing,0.69511703
AST,3,20,Siren,0.69479692
AST,3,21,Speech,0.6940313
AST,3,22,Train,0.69462156
AST,3,23,Tram,0.69558543
AST,3,24,Truck,0.69608827
AST,3,25,Vehicle horn,0.69459561
AST,3,26,Waves,0.69595574
AST,3,27,Wind,0.69575675
AST,4,0,Bell,0.6961746
AST,4,1,Bird sounds,0.69314237
AST,4,2,Boat,0.69528299
AST,4,3,Bus,0.69580193
AST,4,4,Car,0.69271906
AST,4,5,Crickets,0.69663466
AST,4,6,Dog,0.69496805
AST,4,7,Explosion,0.6950102
AST,4,8,Falling water/Rain,0.69442019
AST,4,9,Flowing water,0.69574571
AST,4,10,Footsteps,0.69368719
AST,4,11,Helicopter,0.69427881
AST,4,12,Insects,0.69475395
AST,4,13,Laughter,0.69457123
AST,4,14,Metro,0.6950794
AST,4,15,Music,0.69428676
AST,4,16,Musical instrument,0.69416744
AST,4,17,Plane,0.69435127
AST,4,18,Shout or scream,0.69439175
AST,4,19,Singing,0.69563876
AST,4,20,Siren,0.69596262
AST,4,21,Speech,0.69413529
AST,4,22,Train,0.6944037
AST,4,23,Tram,0.69494015
AST,4,24,Truck,0.69486156
AST,4,25,Vehicle horn,0.69517647
AST,4,26,Waves,0.69800894
AST,4,27,Wind,0.69472958
AST,5,0,Bell,0.69575316
AST,5,1,Bird sounds,0.69352068
AST,5,2,Boat,0.69467555
AST,5,3,Bus,0.695606
AST,5,4,Car,0.69373448
AST,5,5,Crickets,0.69401607
AST,5,6,Dog,0.69392153
AST,5,7,Explosion,0.69407527
AST,5,8,Falling water/Rain,0.69509752
AST,5,9,Flowing water,0.69503112
AST,5,10,Footsteps,0.69432698
AST,5,11,Helicopter,0.69496672
AST,5,12,Insects,0.69531954
AST,5,13,Laughter,0.69502894
AST,5,14,Metro,0.69605499
AST,5,15,Music,0.69517645
AST,5,16,Musical instrument,0.69506896
AST,5,17,Plane,0.69510505
AST,5,18,Shout or scream,0.69464688
AST,5,19,Singing,0.69498887
AST,5,20,Siren,0.69495734
AST,5,21,Speech,0.69409472
AST,5,22,Train,0.69392741
AST,5,23,Tram,0.69502644
AST,5,24,Truck,0.69512298
AST,5,25,Vehicle horn,0.69438671
AST,5,26,Waves,0.69713954
AST,5,27,Wind,0.69504539
