model,run,class_index,class_label,lambda
CLAP,1,0,Bell,0.7011055
CLAP,1,1,Bird sounds,0.69896349
CLAP,1,2,Boat,0.70121023
CLAP,1,3,Bus,0.70252058
CLAP,1,4,Car,0.70187286
CLAP,1,5,Crickets,0.70136881
CLAP,1,6,Dog,0.70011655
CLAP,1,7,Explosion,0.69762443
CLAP,1,8,Falling water/Rain,0.70273918
CLAP,1,9,Flowing water,0.70184571
CLAP,1,10,Footsteps,0.69967866
CLAP,1,11,Helicopter,0.69891116
CLAP,1,12,Insects,0.70152324
CLAP,1,13,Laughter,0.69632382
CLAP,1,14,Metro,0.70051466
CLAP,1,15,Music,0.70088281
CLAP,1,16,Musical instrument,0.69872126
CLAP,1,17,Plane,0.70368254
CLAP,1,18,Shout or scream,0.69794536
CLAP,1,19,Singing,0.69824167
CLAP,1,20,Siren,0.69862593
CLAP,1,21,Speech,0.69990894
CLAP,1,22,Train,0.70204067
CLAP,1,23,Tram,0.70070662
CLAP,1,24,Truck,0.69796938
CLAP,1,25,Vehicle horn,0.69922478
CLAP,1,26,Waves,0.70954037
CLAP,1,27,Wind,0.6999464
CLAP,2,0,Bell,0.69909478
CLAP,2,1,Bird sounds,0.69881784
CLAP,2,2,Boat,0.70191773
CLAP,2,3,Bus,0.70256194
CLAP,2,4,Car,0.70185332
CLAP,2,5,Crickets,0.7022622
CLAP,2,6,Dog,0.70072454
CLAP,2,7,Explosion,0.69862264
CLAP,2,8,Falling water/Rain,0.70229144
CLAP,2,9,Flowing water,0.70301937
CLAP,2,10,Footsteps,0.70022128
CLAP,2,11,Helicopter,0.70069628
CLAP,2,12,Insects,0.70075142
CLAP,2,13,Laughter,0.69632807
CLAP,2,14,Metro,0.70284441
CLAP,2,15,Music,0.70324269
CLAP,2,16,Musical instrument,0.69994732
CLAP,2,17,Plane,0.70341761
CLAP,2,18,Shout or scream,0.69652484
CLAP,2,19,Singing,0.69892985
CLAP,2,20,Siren,0.69945581
CLAP,2,21,Speech,0.70128743
CLAP,2,22,Train,0.70253827
CLAP,2,23,Tram,0.70086477
CLAP,2,24,Truck,0.69823951
CLAP,2,25,Vehicle horn,0.70000262
CLAP,2,26,Waves,0.71045602
CLAP,2,27,Wind,0.69729251
CLAP,3,0,Bell,0.70215653
CLAP,3,1,Bird sounds,0.69657155
CLAP,3,2,Boat,0.70077921
CLAP,3,3,Bus,0.70181286
CLAP,3,4,Car,0.70196931
CLAP,3,5,Crickets,0.70181617
CLAP,3,6,Dog,0.70043549
CLAP,3,7,Explosion,0.69863254
CLAP,3,8,Falling water/Rain,0.70182745
CLAP,3,9,Flowing water,0.70100175
CLAP,3,10,Footsteps,0.69845903
CLAP,3,11,Helicopter,0.699852
CLAP,3,12,Insects,0.69988787
CLAP,3,13,Laughter,0.69697274
CLAP,3,14,Metro,0.69970818
CLAP,3,15,Music,0.69957777
CLAP,3,16,Musical instrument,0.69813056
CLAP,3,17,Plane,0.70013808
CLAP,3,18,Shout or scream,0.69747374
CLAP,3,19,Singing,0.69738804
CLAP,3,20,Siren,0.69939319
CLAP,3,21,Speech,0.69985677
CLAP,3,22,Train,0.70000977
CLAP,3,23,Tram,0.70007808
CLAP,3,24,Truck,0.7001279
CLAP,3,25,Vehicle horn,0.70040254
CLAP,3,26,Waves,0.70872284
CLAP,3,27,Wind,0.69695195
CLAP,4,0,Bell,0.69897509
CLAP,4,1,Bird sounds,0.69832172
CLAP,4,2,Boat,0.70225959
CLAP,4,3,Bus,0.69927971
CLAP,4,4,Car,0.70211687
CLAP,4,5,Crickets,0.70330409
CLAP,4,6,Dog,0.70229921
CLAP,4,7,Explosion,0.69827805
CLAP,4,8,Falling water/Rain,0.70099237
CLAP,4,9,Flowing water,0.70251364
CLAP,4,10,Footsteps,0.70070068
CLAP,4,11,Helicopter,0.70015445
CLAP,4,12,Insects,0.70078846
CLAP,4,13,Laughter,0.69578797
CLAP,4,14,Metro,0.70243381
CLAP,4,15,Music,0.69936381
CLAP,4,16,Musical instrument,0.69883039
CLAP,4,17,Plane,0.70276302
CLAP,4,18,Shout or scream,0.69781094
CLAP,4,19,Singing,0.69815295
CLAP,4,20,Siren,0.70193576
CLAP,4,21,Speech,0.69992581
CLAP,4,22,Train,0.70356921
CLAP,4,23,Tram,0.70117053
CLAP,4,24,Truck,0.69903823
CLAP,4,25,Vehicle horn,0.701408
CLAP,4,26,Waves,0.71072017
CLAP,4,27,Wind,0.69926542
CLAP,5,0,Bell,0.69943773
CLAP,5,1,Bird sounds,0.69905733
CLAP,5,2,Boat,0.69965318
CLAP,5,3,Bus,0.70078427
CLAP,5,4,Car,0.70027881
CLAP,5,5,Crickets,0.70327821
CLAP,5,6,Dog,0.69990425
CLAP,5,7,Explosion,0.69719353
CLAP,5,8,Falling water/Rain,0.70138617
CLAP,5,9,Flowing water,0.70232649
CLAP,5,10,Footsteps,0.69875228
CLAP,5,11,Helicopter,0.69953024
CLAP,5,12,Insects,0.69882466
CLAP,5,13,Laughter,0.69706874
CLAP,5,14,Metro,0.7010286
CLAP,5,15,Music,0.69922768
CLAP,5,16,Musical instrument,0.69913021
CLAP,5,17,Plane,0.70380387
CLAP,5,18,Shout or scream,0.6950574
CLAP,5,19,Singing,0.69945229
CLAP,5,20,Siren,0.70078245
CLAP,5,21,Speech,0.69813048
CLAP,5,22,Train,0.69996995
CLAP,5,23,Tram,0.70268582
CLAP,5,24,Truck,0.69822731
CLAP,5,25,Vehicle horn,0.69988205
CLAP,5,26,Waves,0.7121073
CLAP,5,27,Wind,0.70136019
