model,run,class_index,class_label,lambda
PANNs,1,0,Bell,0.69866787
PANNs,1,1,Bird sounds,0.69854495
PANNs,1,2,Boat,0.70078217
PANNs,1,3,Bus,0.69938947
PANNs,1,4,Car,0.70035639
PANNs,1,5,Crickets,0.70059964
PANNs,1,6,Dog,0.69962439
PANNs,1,7,Explosion,0.69926033
PANNs,1,8,Falling water/Rain,0.70250749
PANNs,1,9,Flowing water,0.70114807
PANNs,1,10,Footsteps,0.70044415
PANNs,1,11,Helicopter,0.69977024
PANNs,1,12,Insects,0.70002222
PANNs,1,13,Laughter,0.69682059
PANNs,1,14,Metro,0.70064764
PANNs,1,15,Music,0.70049419
PANNs,1,16,Musical instrument,0.69879675
PANNs,1,17,Plane,0.70262924
PANNs,1,18,Shout or scream,0.69578329
PANNs,1,19,Singing,0.698184
PANNs,1,20,Siren,0.69916167
PANNs,1,21,Speech,0.69800298
PANNs,1,22,Train,0.70133767
PANNs,1,23,Tram,0.70137538
PANNs,1,24,Truck,0.69745813
PANNs,1,25,Vehicle horn,0.69948382
PANNs,1,26,Waves,0.70658645
PANNs,1,27,Wind,0.69857626
PANNs,2,0,Bell,0.69869921
PANNs,2,1,Bird sounds,0.69747383
PANNs,2,2,Boat,0.70096032
PANNs,2,3,Bus,0.69960674
PANNs,2,4,Car,0.70130882
PANNs,2,5,Crickets,0.70015926
PANNs,2,6,Dog,0.70074172
PANNs,2,7,Explosion,0.69876984
PANNs,2,8,Falling water/Rain,0.70364432
PANNs,2,9,Flowing water,0.70183447
PANNs,2,10,Footsteps,0.70068942
PANNs,2,11,Helicopter,0.70000526
PANNs,2,12,Insects,0.69943998
PANNs,2,13,Laughter,0.69677958
PANNs,2,14,Metro,0.69937934
PANNs,2,15,Music,0.70077024
PANNs,2,16,Musical instrument,0.69823357
PANNs,2,17,Plane,0.70352991
PANNs,2,18,Shout or scream,0.69495002
PANNs,2,19,Singing,0.69811867
PANNs,2,20,Siren,0.69985827
PANNs,2,21,Speech,0.69862669
PANNs,2,22,Train,0.70031798
PANNs,2,23,Tram,0.70088258
PANNs,2,24,Truck,0.69828003
PANNs,2,25,Vehicle horn,0.69935217
PANNs,2,26,Waves,0.70709651
PANNs,2,27,Wind,0.6985919
PANNs,3,0,Bell,0.69937142
PANNs,3,1,Bird sounds,0.69828978
PANNs,3,2,Boat,0.70149528
PANNs,3,3,Bus,0.70019039
PANNs,3,4,Car,0.70147221
PANNs,3,5,Crickets,0.70011118
PANNs,3,6,Dog,0.70086254
PANNs,3,7,Explosion,0.69911451
PANNs,3,8,Falling water/Rain,0.70337466
PANNs,3,9,Flowing water,0.70082102
PANNs,3,10,Footsteps,0.69912105
PANNs,3,11,Helicopter,0.69976206
PANNs,3,12,Insects,0.6993071
PANNs,3,13,Laughter,0.69585019
PANNs,3,14,Metro,0.70017763
PANNs,3,15,Music,0.70027925
PANNs,3,16,Musical instrument,0.69909398
PANNs,3,17,Plane,0.70389305
PANNs,3,18,Shout or scream,0.69685051
PANNs,3,19,Singing,0.69766916
PANNs,3,20,Siren,0.69895496
PANNs,3,21,Speech,0.69644831
PANNs,3,22,Train,0.70164738
PANNs,3,23,Tram,0.70132822
PANNs,3,24,Truck,0.69897548
PANNs,3,25,Vehicle horn,0.69964509
PANNs,3,26,Waves,0.70577922
PANNs,3,27,Wind,0.69999103
PANNs,4,0,Bell,0.69995984
PANNs,4,1,Bird sounds,0.6979768
PANNs,4,2,Boat,0.70072287
PANNs,4,3,Bus,0.70010664
PANNs,4,4,Car,0.70216925
PANNs,4,5,Crickets,0.70049108
PANNs,4,6,Dog,0.7000124
PANNs,4,7,Explosion,0.70015986
PANNs,4,8,Falling water/Rain,0.70328744
PANNs,4,9,Flowing water,0.70034514
PANNs,4,10,Footsteps,0.70017681
PANNs,4,11,Helicopter,0.69840077
PANNs,4,12,Insects,0.69966005
PANNs,4,13,Laughter,0.69657976
PANNs,4,14,Metro,0.70164175
PANNs,4,15,Music,0.70178596
PANNs,4,16,Musical instrument,0.69811344
PANNs,4,17,Plane,0.7017064
PANNs,4,18,Shout or scream,0.69629184
PANNs,4,19,Singing,0.69745122
PANNs,4,20,Siren,0.69857556
PANNs,4,21,Speech,0.69843632
PANNs,4,22,Train,0.70278136
PANNs,4,23,Tram,0.69816844
PANNs,4,24,Truck,0.69771921
PANNs,4,25,Vehicle horn,0.70058134
PANNs,4,26,Waves,0.7066228
PANNs,4,27,Wind,0.6980818
PANNs,5,0,Bell,0.69963962
PANNs,5,1,Bird sounds,0.70001484
PANNs,5,2,Boat,0.70083882
PANNs,5,3,Bus,0.70129867
PANNs,5,4,Car,0.70201175
PANNs,5,5,Crickets,0.70063092
PANNs,5,6,Dog,0.701351
PANNs,5,7,Explosion,0.69945548
PANNs,5,8,Falling water/Rain,0.70465466
PANNs,5,9,Flowing water,0.70165851
PANNs,5,10,Footsteps,0.69910912
PANNs,5,11,Helicopter,0.69974073
PANNs,5,12,Insects,0.69983231
PANNs,5,13,Laughter,0.69626204
PANNs,5,14,Metro,0.70139996
PANNs,5,15,Music,0.70302743
PANNs,5,16,Musical instrument,0.6982607
PANNs,5,17,Plane,0.70171184
PANNs,5,18,Shout or scream,0.6958681
PANNs,5,19,Singing,0.69852043
PANNs,5,20,Siren,0.70030314
PANNs,5,21,Speech,0.69844191
PANNs,5,22,Train,0.70204594
PANNs,5,23,Tram,0.7004881
PANNs,5,24,Truck,0.69798113
PANNs,5,25,Vehicle horn,0.70076828
PANNs,5,26,Waves,0.70715334
PANNs,5,27,Wind,0.69969737
